address,city,country,name,name_url,num_animals,num_species,state
1300 Zoo Road NE,Calgary,Canada,Calgary Zoo,https://en.wikipedia.org/wiki/Calgary_Zoo,"Over 1,000","Over 1,000",Alberta
2203 W Martin Luther King Jr Blvd,Tyler,United States,Caldwell Zoo,https://en.wikipedia.org/wiki/Caldwell_Zoo,"2,000","2,000",Texas
425 Hawthorn St,New Bedford,United States,Buttonwood Park Zoo,https://en.wikipedia.org/wiki/Buttonwood_Park_Zoo,250+,250+,Massachusetts
3720 Stephen M. White Dr,San Pedro,United States,Cabrillo Marine Aquarium,https://en.wikipedia.org/wiki/Cabrillo_Marine_Aquarium,,,California
6252 W 104th Ave,Westminster,United States,Butterfly Pavilion,https://en.wikipedia.org/wiki/Butterfly_Pavilion,,,Colorado
15193 Olive Boulevard,Chesterfield,United States,The Butterfly House,"https://en.wikipedia.org/wiki/Butterfly_House,_Missouri_Botanical_Garden",2000,2000,Missouri
PO Box 3368,Pawleys Island,United States,Brookgreen Gardens,https://en.wikipedia.org/wiki/Brookgreen_Gardens,,,South Carolina
8225 N Wickham Rd,Melbourne,United States,Brevard Zoo,https://en.wikipedia.org/wiki/Brevard_Zoo,900,900,Florida
10165 N McKinley Dr,Tampa,United States,Busch Gardens (Tampa),https://en.wikipedia.org/wiki/Busch_Gardens_Tampa,,,Florida
300 Parkside Ave,Buffalo,United States,Buffalo Zoo,https://en.wikipedia.org/wiki/Buffalo_Zoo,1200,1200,New York
1001 N Park Dr,Wilmington,United States,Brandywine Zoo,https://en.wikipedia.org/wiki/Brandywine_Zoo,90,90,Delaware
2300 Southern Blvd,Bronx,United States,Bronx Zoo,https://en.wikipedia.org/wiki/Bronx_Zoo,"4,000 (2010)","4,000 (2010)",New York
800 10th St NW,Watertown,United States,Bramble Park Zoo,https://en.wikipedia.org/wiki/Bramble_Park_Zoo,500,500,South Dakota
2600 Deweese Parkway,Dayton,United States,Boonshoft Museum of Discovery,https://en.wikipedia.org/wiki/Boonshoft_Museum_of_Discovery,,,Ohio
7401 SW 9th St,Des Moines,United States,Blank Park Zoo,https://en.wikipedia.org/wiki/Blank_Park_Zoo,"1,484","1,484",Iowa
"USCD, 9500 Gilman Dr",La Jolla,United States,Birch Aquarium at Scripps,https://en.wikipedia.org/wiki/Birch_Aquarium,"3,000+","3,000+",California
7400 Division Dr,Battle Creek,United States,Binder Park Zoo,https://en.wikipedia.org/wiki/Binder_Park_Zoo,500,500,Michigan
PO Box FL 145,Flatts Village,,"Bermuda Aquarium, Museum and Zoo","https://en.wikipedia.org/wiki/Bermuda_Aquarium,_Museum_and_Zoo",300,300,Bermuda
